Date;Price;Open;High;Low;Volume;Volatility;Fluktuasi
2021;1,818.55;1,781.25;1,820.45;1,758.90;222.61K;1,9;Naik
2021;1,783.90;1,757.20;1,815.50;1,745.40;3.92M;1,5;Naik
2021;1,757.00;1,816.70;1,836.90;1,721.10;3.65M;-3,4;Turun
2021;1,818.10;1,817.00;1,835.90;1,677.90;3.66M;0,3;Netral
2021;1,812.60;1,770.80;1,835.00;1,765.90;4.04M;2,3;Naik
2021;1,771.60;1,906.80;1,919.20;1,750.10;4.62M;-7;Turun
2021;1,905.30;1,770.40;1,915.60;1,768.50;1.41M;7,7;Naik
2021;1,769.80;1,711.40;1,800.00;1,708.80;92.11K;3,1;Naik
2021;1,717.50;1,738.10;1,762.00;1,678.40;73.84K;-1;Turun
2021;1,734.00;1,864.60;1,874.60;1,720.80;33.87K;-6,5;Turun
2021;1,854.70;1,927.20;1,971.50;1,810.00;34.03K;-2,7;Turun
2020;1,905.80;1,789.40;1,920.90;1,789.40;22.12K;6,5;Naik
2020;1,790.20;1,896.80;1,978.40;1,776.60;9.24K;-5,8;Turun
2020;1,899.90;1,927.60;1,957.70;1,884.00;3.64K;-0,8;Turun
2020;1,914.60;2,018.60;2,018.60;1,872.00;5.32K;-4,2;Turun
2020;1,999.10;2,026.90;2,120.00;1,913.00;4.46K;-0,9;Turun
2020;2,017.10;1,830.00;2,035.00;1,830.00;5.43K;10;Naik
2020;1,833.20;1,774.50;1,835.00;1,727.50;4.91K;3,4;Naik
2020;1,773.80;1,720.10;1,795.40;1,720.10;1.37K;3,7;Naik
2020;1,709.90;1,747.50;1,779.10;1,709.50;0.08K;6,7;Naik
2020;1,602.70;1,485.00;1,503.00;1,485.00;0.05K;0,4;Netral
2020;1,596.60;1,606.00;1,707.40;1,595.20;0.05K;-1,8;Turun
2020;1,626.10;1,595.00;1,595.00;1,595.00;0.00K;3,7;Naik
2019;1,567.60;1,515.90;1,544.20;1,497.20;0.02K;3,8;Naik
2019;1,510.70;1,534.70;1,534.70;1,534.70;0.00K;-3;Turun
2019;1,556.90;1,548.80;1,556.70;1,548.80;0.00K;2,8;Naik
2019;1,514.50;1,575.80;1,575.80;1,536.70;0.03K;-3,1;Turun
2019;1,563.10;1,450.20;1,582.40;1,450.20;0.01K;6,1;Naik
2019;1,473.30;1,444.50;1,474.20;1,444.50;0.04K;1,4;Naik
2019;1,452.90;1,373.10;1,422.60;1,373.10;0.02K;7;Naik
2019;1,357.50;1,334.20;1,350.20;1,320.10;0.03K;1,3;Naik
2019;1,340.40;1,342.70;1,363.90;1,323.80;0.07K;-0,7;Turun
2019;1,350.40;1,350.00;1,368.20;1,342.20;0.19K;-1,8;Turun
2019;1,375.30;1,382.60;1,388.00;1,374.00;0.30K;-0,6;Turun
2019;1,384.00;1,351.80;1,377.60;1,351.80;0.28K;2,7;Naik
2018;1,347.10;1,313.90;1,343.00;1,309.50;0.03K;4,2;Naik
2018;1,292.70;1,289.70;1,289.70;1,289.70;0.15K;0,4;Netral
2018;1,288.20;1,271.20;1,296.70;1,271.20;0.12K;1,5;Naik
2018;1,268.70;1,266.10;1,271.90;1,260.00;0.10K;-0,7;Turun
2018;1,277.70;1,308.00;1,308.00;1,265.80;0.07K;-2,5;Turun
2018;1,309.80;1,327.00;1,327.00;1,301.90;0.12K;-2,5;Turun
2018;1,343.70;1,392.40;1,392.40;1,353.70;0.03K;-3,7;Turun
2018;1,395.00;1,413.50;1,413.50;1,405.30;0.10K;-1,7;Turun
2018;1,419.10;1,460.10;1,460.10;1,442.00;0.02K;-0,5;Turun
2018;1,426.00;1,433.40;1,433.40;1,433.40;0.01K;0,5;Netral
2018;1,419.20;1,419.20;1,419.20;1,419.20;9.63K;-1,4;Turun
2018;1,439.40;1,399.00;1,399.00;1,398.00;0.00K;3,4;Naik
2017;1,391.90;1,327.60;1,372.10;1,327.60;0.08K;2,6;Naik
2017;1,357.30;1,382.00;1,382.00;1,382.00;0.13K;0,7;Netral
2017;1,347.70;1,353.30;1,382.00;1,351.70;0.01K;-0,7;Turun
