Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;JAMBI;BANDENG;2018;490.34;10818155
BUDIDAYA;JAMBI;BANDENG;2019;123.05;1845690
BUDIDAYA;JAMBI;BANDENG;2020;520.9;13045222
BUDIDAYA;JAWA BARAT;BANDENG;2010;66145.66;715090161
BUDIDAYA;JAWA BARAT;BANDENG;2011;76545.45;918545400
BUDIDAYA;JAWA BARAT;BANDENG;2012;74719.73;1194885760
BUDIDAYA;JAWA BARAT;BANDENG;2013;93886.99;1055231215
BUDIDAYA;JAWA BARAT;BANDENG;2014;86010.45;1179882230
BUDIDAYA;JAWA BARAT;BANDENG;2015;98307.48;1614782288
BUDIDAYA;JAWA BARAT;BANDENG;2016;107767.25;1626560196
BUDIDAYA;JAWA BARAT;BANDENG;2017;79051.67;1343166993
BUDIDAYA;JAWA BARAT;BANDENG;2018;120236.53;2832515024
BUDIDAYA;JAWA BARAT;BANDENG;2019;99064.38;1908485619
BUDIDAYA;JAWA BARAT;BANDENG;2020;101002.36;2659958612
BUDIDAYA;JAWA TENGAH;BANDENG;2010;57201.1;568363148
BUDIDAYA;JAWA TENGAH;BANDENG;2011;64305.27;643052700
BUDIDAYA;JAWA TENGAH;BANDENG;2012;64038.22;1024611504
BUDIDAYA;JAWA TENGAH;BANDENG;2013;72802.73;836252479
BUDIDAYA;JAWA TENGAH;BANDENG;2014;90350.68;1321539227
BUDIDAYA;JAWA TENGAH;BANDENG;2015;80140.97;1330344485
BUDIDAYA;JAWA TENGAH;BANDENG;2016;83328.5;1351014584
BUDIDAYA;JAWA TENGAH;BANDENG;2017;22409.65;380762329
BUDIDAYA;JAWA TENGAH;BANDENG;2018;93062.95;1699066077
BUDIDAYA;JAWA TENGAH;BANDENG;2019;90812.18;1829821247
BUDIDAYA;JAWA TENGAH;BANDENG;2020;80120.46;2200416704
BUDIDAYA;JAWA TIMUR;BANDENG;2010;76936.6;598499017
BUDIDAYA;JAWA TIMUR;BANDENG;2011;80667.9;1449804600
BUDIDAYA;JAWA TIMUR;BANDENG;2012;111757.5;1766325400
BUDIDAYA;JAWA TIMUR;BANDENG;2013;138626.22;1980688733
BUDIDAYA;JAWA TIMUR;BANDENG;2014;136262.71;1915220030
BUDIDAYA;JAWA TIMUR;BANDENG;2015;140843.8;2226249583
BUDIDAYA;JAWA TIMUR;BANDENG;2016;151078.77;2618852393
BUDIDAYA;JAWA TIMUR;BANDENG;2017;182285.05;3097205336
BUDIDAYA;JAWA TIMUR;BANDENG;2018;165805.77;4577106617
