Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;JAMBI;LELE;2015;5669.63;72202995
BUDIDAYA;JAMBI;LELE;2016;6263.41;73995742
BUDIDAYA;JAMBI;LELE;2017;6349.31;110287549
BUDIDAYA;JAMBI;LELE;2018;6740.06;112224376
BUDIDAYA;JAMBI;LELE;2019;7914.17;132198487
BUDIDAYA;JAMBI;LELE;2020;8178.06;119975779
BUDIDAYA;JAWA BARAT;LELE;2010;91041.19;992455247
BUDIDAYA;JAWA BARAT;LELE;2011;112756.18;1243909352
BUDIDAYA;JAWA BARAT;LELE;2012;146440.37;1610844070
BUDIDAYA;JAWA BARAT;LELE;2013;197782.67;3758220404
BUDIDAYA;JAWA BARAT;LELE;2014;231121.95;3732956488
BUDIDAYA;JAWA BARAT;LELE;2015;242911.24;4614828824
BUDIDAYA;JAWA BARAT;LELE;2016;254418.62;5080966795
BUDIDAYA;JAWA BARAT;LELE;2017;308645.03;5361164206
BUDIDAYA;JAWA BARAT;LELE;2018;247224.48;4485953255
BUDIDAYA;JAWA BARAT;LELE;2019;268656.21;4270965448
BUDIDAYA;JAWA BARAT;LELE;2020;340834.5;7956707809
BUDIDAYA;JAWA TENGAH;LELE;2010;36767.7;372231752
BUDIDAYA;JAWA TENGAH;LELE;2011;54088.36;476983614
BUDIDAYA;JAWA TENGAH;LELE;2012;62686.29;689549194
BUDIDAYA;JAWA TENGAH;LELE;2013;75236.27;972570114
BUDIDAYA;JAWA TENGAH;LELE;2014;113167.47;1588525155
BUDIDAYA;JAWA TENGAH;LELE;2015;112761.74;1828464721
BUDIDAYA;JAWA TENGAH;LELE;2016;122292.16;1898388137
BUDIDAYA;JAWA TENGAH;LELE;2017;105874.13;1839033638
BUDIDAYA;JAWA TENGAH;LELE;2018;143863.92;2366197939
BUDIDAYA;JAWA TENGAH;LELE;2019;155540.64;2558168104
BUDIDAYA;JAWA TENGAH;LELE;2020;161089.22;3058385346
BUDIDAYA;JAWA TIMUR;LELE;2010;43617.5;407555502
BUDIDAYA;JAWA TIMUR;LELE;2011;57926;810964000
BUDIDAYA;JAWA TIMUR;LELE;2012;62807.2;690879200
BUDIDAYA;JAWA TIMUR;LELE;2013;79927.49;994976353
BUDIDAYA;JAWA TIMUR;LELE;2014;96830.1;1288324042
BUDIDAYA;JAWA TIMUR;LELE;2015;114402.87;1738678518
BUDIDAYA;JAWA TIMUR;LELE;2016;120284.85;1762655872
BUDIDAYA;JAWA TIMUR;LELE;2017;148543.87;2580206987
BUDIDAYA;JAWA TIMUR;LELE;2018;127846.98;2024354598
BUDIDAYA;JAWA TIMUR;LELE;2019;124444.26;1899734246
BUDIDAYA;JAWA TIMUR;LELE;2020;160838.26;2873317031
BUDIDAYA;KALIMANTAN BARAT;LELE;2010;1290.48;19984920
BUDIDAYA;KALIMANTAN BARAT;LELE;2011;1607.34;40288240
BUDIDAYA;KALIMANTAN BARAT;LELE;2012;2626.15;42018400
BUDIDAYA;KALIMANTAN BARAT;LELE;2013;4237.67;77946151
BUDIDAYA;KALIMANTAN BARAT;LELE;2014;8269.71;163751520
BUDIDAYA;KALIMANTAN BARAT;LELE;2015;9575.13;208331520
BUDIDAYA;KALIMANTAN BARAT;LELE;2016;5316.28;126807198
BUDIDAYA;KALIMANTAN BARAT;LELE;2017;12172.86;211442596
BUDIDAYA;KALIMANTAN BARAT;LELE;2018;8430.55;215670786
BUDIDAYA;KALIMANTAN BARAT;LELE;2019;9224.28;254730799
BUDIDAYA;KALIMANTAN BARAT;LELE;2020;10205.51;265026215
BUDIDAYA;KALIMANTAN SELATAN;LELE;2010;143.3;2044738
BUDIDAYA;KALIMANTAN SELATAN;LELE;2011;238.6;4056200
BUDIDAYA;KALIMANTAN SELATAN;LELE;2012;609;9744000
BUDIDAYA;KALIMANTAN SELATAN;LELE;2013;1074.2;14879706
BUDIDAYA;KALIMANTAN SELATAN;LELE;2014;1671.3;25787415
BUDIDAYA;KALIMANTAN SELATAN;LELE;2015;2968.4;49283216
BUDIDAYA;KALIMANTAN SELATAN;LELE;2016;3939.2;82783601
BUDIDAYA;KALIMANTAN SELATAN;LELE;2017;22606.96;392682930
BUDIDAYA;KALIMANTAN SELATAN;LELE;2018;5357.65;112474778
BUDIDAYA;KALIMANTAN SELATAN;LELE;2019;4138.67;81650059
BUDIDAYA;KALIMANTAN SELATAN;LELE;2020;4733.98;105654535
